Name,Latitude,Longitude,Category
Café Lamartine,48.86594,2.276189,Bar
Café Harcourt,48.867403,2.275955,Restaurant
Café de la Mairie,48.863697,2.277327,Bar
120 Cafe,48.866812,2.280159,American Restaurant
Jpl Cafe Coton,48.866953,2.280933,Clothing Store
Café Ducale,48.86607,2.285993,French Restaurant
DS Café,48.870153,2.284505,Café
Café Victor Hugo,48.870137,2.285442,Café
Café du Trocadéro,48.863645,2.286676,Café
White Café,48.863785,2.287449,Fast Food Restaurant
Café de Buci,48.853818,2.338455,Café
Café de Paris,48.853887,2.337464,French Restaurant
Malongo Café,48.853464,2.340477,Coffee Shop
Bar du Marché,48.853981,2.337091,Bar
Le Café Pierre Hermé,48.85244,2.339687,Pastry Shop
Café Latin,48.853427,2.342261,Fast Food Restaurant
Breizh Café,48.851598,2.33883,Restaurant
Café Mabillon,48.853326,2.335748,Brasserie
Café Fénelon,48.853418,2.343373,Bistro
Café Louise,48.853783,2.33224,Café
Le Toucan Café,48.866621,2.366607,Café
Au Bon Café,48.868177,2.361959,Karaoke Bar
Café Bonne Bière,48.868862,2.368139,French Restaurant
Martin Bar,48.868571,2.360907,Cocktail Bar
Café Mareva,48.869103,2.368716,Coffee Shop
Café Philippe,48.865504,2.361886,Diner
Café de la Tour du Temple,48.865856,2.361153,Bar
Café Petite,48.868741,2.35972,Bar
Café de la Poste,48.863932,2.364803,Bar
Hubsy Café & Coworking,48.871313,2.35999,Coffee Shop
Galette Café,48.856481,2.331553,Café
Café Louise,48.853783,2.33224,Café
Café de Paris,48.853887,2.337464,French Restaurant
Café Mabillon,48.853326,2.335748,Brasserie
Café de Buci,48.853818,2.338455,Café
Café de l'Empire,48.858265,2.328504,Gastropub
Malongo Café,48.853464,2.340477,Coffee Shop
Le Café Pierre Hermé,48.85244,2.339687,Pastry Shop
Café Marly,48.861666,2.335727,Café
Breizh Café,48.851598,2.33883,Restaurant
La Compagnie du Café,48.877888,2.337905,Café
Café Matisse,48.880227,2.335107,Fast Food Restaurant
