Name,Latitude,Longitude,Review Count,Rating,Category
La Coïncidence,48.868105,2.284365,511,4.5,French
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
Le Poincaré,48.8650573,2.2865211,150,4.0,French
Le Cinq,48.8688,2.30083,158,4.5,French
La Fontaine de Mars,48.858394,2.302568,332,4.5,French
L'Epicure,48.871697,2.314657,175,4.5,French
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Sgabetti,48.865831,2.283666,40,4.5,Italian
Restaurant de la Tour,48.85439,2.29505,64,5.0,French
Monsieur Bleu,48.863716,2.296757,201,4.0,French
L'Atelier de Joël Robuchon,48.8728,2.29698,158,4.0,French
Langousta,48.856266,2.278149,41,5.0,Seafood
Le Hide,48.8763,2.29401,241,4.5,French
Au Bon Accueil,48.8596099,2.2993434,90,4.5,French
Crêperie Framboise Passy-Trocadéro,48.8588295,2.2850399,65,4.5,Creperies
Le Relais de Venise - l'Entrecôte,48.878045,2.285062,292,4.0,Desserts
Le Soufflé,48.86645,2.32647,321,4.0,French
Pink Mamma,48.88187,2.3346,392,4.0,Steakhouses
Baroche,48.871315,2.307362,231,4.0,Brasseries
L'Astrance,48.85844,2.28734,64,4.5,French
L'Atelier de Joël Robuchon,48.8568107229545,2.32785068883627,399,4.0,French
Pavillon Ledoyen,48.8661071818398,2.31645151287496,74,4.5,French
Le Bistro Marbeuf,48.86852,2.3035,153,4.0,French
Chez Fernand,48.85461,2.33954,226,4.5,French
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
Le Petit Rétro,48.86885,2.2848,38,4.0,Bistros
Essaouira,48.86445,2.28973,55,4.5,Moroccan
Hiramatsu,48.86507,2.28751,32,4.5,French
Gambino,48.86736,2.33298,240,4.5,Italian
Le Volant Basque,48.8499,2.29127,243,4.5,Basque
Bon,48.86018,2.2749799,120,4.0,French
Il Sorrentino,48.8598,2.30044,82,4.0,Italian
La Petite Tour,48.8591197309771,2.28314827036138,22,4.5,French
Ober Mamma,48.86446,2.37018,308,4.5,Pizza
Le Violon d'Ingres,48.85819,2.30183,120,4.5,French
Schum,48.870032,2.290631,31,4.5,French
Pottoka,48.85827,2.30254,69,4.5,French
Le Petit Pontoise,48.8498845,2.3520959,151,4.5,Bistros
Le Bosquet,48.8560807716799,2.30452508354831,194,4.0,Bars
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
Caffé Caesar,48.8752983,2.293983,61,4.5,Italian
L'Arpège,48.855753,2.316982,229,4.0,French
Frog XVI,48.864863,2.288216,87,3.5,Gastropubs
Guy Savoy,48.857,2.3386999,90,4.5,French
Schwartz's Deli,48.863781610496,2.2856212497981,64,3.5,Burgers
La Tour Eiffel,48.858368,2.29448028497734,2050,4.5,Landmarks & Historical Buildings
Au Père Louis,48.848966,2.340349,267,4.0,Wine Bars
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Galette Café,48.85643,2.33153,115,4.5,Creperies
John Viande,48.874333,2.354259,81,4.5,Burgers
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Le Comptoir,48.851945700766,2.338757487651,453,4.0,Bistros
Guy Savoy,48.857,2.3386999,90,4.5,French
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
Fish la Boissonnerie,48.85423,2.33699,137,4.5,French
Au Père Louis,48.848966,2.340349,267,4.0,Wine Bars
Semilla,48.85406,2.33691,107,4.0,French
Ippudo Saint-Germain,48.853198,2.337687,113,4.0,Ramen
Shiso Burger,48.85339,2.3453,94,4.5,Burgers
Le Procope,48.853039868867,2.33873112110052,329,3.5,French
Le Fumoir,48.8604,2.34055,315,4.0,Lounges
Huitrerie Régis,48.852768,2.336005,100,4.5,Seafood
Le Petit Châtelet,48.852616,2.34702,144,4.0,French
Le Relais de l'Entrecôte,48.85469,2.3329,502,4.0,Steakhouses
Kodawari Ramen,48.85467,2.33806,90,4.0,Ramen
Les Papilles,48.84461,2.34174,258,4.5,Wine Bars
L'Alsacien,48.8582259709568,2.35042658065285,67,4.5,Beer Bar
Bistro des Augustins,48.854754,2.342119,478,4.5,Bistros
Brasserie O'Neil,48.85185,2.33366,100,4.0,Brasseries
Ze Kitchen Galerie,48.85502,2.3412099,211,4.0,French
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Carpe Diem Café,48.8605269,2.3459065,165,4.0,French
Le Petit Pontoise,48.8498845,2.3520959,151,4.5,Bistros
Huguette,48.8532753282413,2.337029,67,4.0,Seafood
L'Oliveto,48.85339,2.33595,23,4.5,Italian
BREIZH Café Odéon | La Crêpe Autrement,48.851586,2.33885,68,4.5,Creperies
Chez Fernand,48.85186,2.33441,82,4.0,French
L'Epicure,48.871697,2.314657,175,4.5,French
Les Philosophes,48.857332,2.357493,364,4.0,Bistros
La Régalade,48.8616441182389,2.34201570904084,101,4.5,French
Le Calife,48.8583205,2.3346584,99,4.5,French
Le Porte Pot,48.85134,2.34452,134,4.5,Wine Bars
Ralph's,48.85421,2.33072,87,4.0,American (Traditional)
Au Bougnat,48.8543,2.35002,76,4.0,French
Chez Mademoiselle,48.85432,2.35979,116,4.5,French
Le Cinq,48.8688,2.30083,158,4.5,French
Le Soufflé,48.86645,2.32647,321,4.0,French
Café Saint-Régis,48.853392,2.353736,187,4.0,French
Au Petit Suisse,48.84905,2.33901,120,4.0,Brasseries
Aux Arts Etc...,48.8518973088041,2.34899917672232,57,4.5,Cafes
L'Epigramme,48.852558,2.340719,34,4.5,French
L'Atlas,48.853644,2.33762,99,3.5,French
Chez Janou,48.8566952430158,2.36717752386277,589,4.0,Bistros
Pirouette,48.8629559992863,2.34797019441669,78,4.0,French
La Dame de Pic,48.86146,2.34126,32,4.5,French
Gemini,48.8593674647599,2.34705866389581,42,4.5,Italian
Chez Gladines,48.8496,2.35046,240,4.0,Basque
Café de Paris,48.853873,2.337616,54,3.5,Cafes
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
Ober Mamma,48.86446,2.37018,308,4.5,Pizza
Robert et Louise,48.859081,2.359435,352,4.0,French
L'Aller Retour,48.865353,2.363151,80,4.5,Wine Bars
Pierre Sang,48.86461,2.37233,159,4.5,French
Chez Janou,48.8566952430158,2.36717752386277,589,4.0,Bistros
MELT OBERKAMPF,48.865612,2.370802,32,5.0,Steakhouses
Candelaria,48.862981,2.364033,339,4.0,Mexican
L'îlot,48.8647842407227,2.36330199241638,64,4.5,Seafood
Les Enfants Perdus,48.87439,2.36201,133,4.0,French
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Les Philosophes,48.857332,2.357493,364,4.0,Bistros
John Viande,48.874333,2.354259,81,4.5,Burgers
Frenchie Restaurant,48.867754322367,2.3477420774331,240,4.5,French
Le Chateaubriand,48.86936,2.37133,260,4.0,French
Chameleon,48.86913,2.3581,41,4.5,French
Soya,48.86805,2.370184,176,4.0,Breakfast & Brunch
Siseng,48.87228,2.36506,161,4.5,Burgers
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Holybelly 5,48.871022,2.359819,290,4.5,Breakfast & Brunch
Au Passage,48.86139,2.36819,124,4.0,Modern European
L'Escargot,48.864206,2.3467,280,4.0,French
Pain Vin Fromages,48.860525,2.354439,265,4.5,Fondue
The Beast,48.86773,2.35969,86,4.0,American (Traditional)
Holybelly 19,48.87213,2.36078,300,4.5,Breakfast & Brunch
Inaro,48.868423,2.361196,85,4.5,Wine Bars
Le Bichat,48.8697,2.36916,80,4.5,Cafes
Pierre Sang on Gambey,48.8649902,2.3721399,55,4.5,Modern European
L'Epicure,48.871697,2.314657,175,4.5,French
The Frog & Underground,48.871088,2.343115,45,4.5,Pubs
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
L'Amour Vache,48.869901651373,2.35228415692945,39,4.5,Brasseries
Le Colimaçon,48.8580235883243,2.35806396197131,144,4.5,French
Le Bistrot des Vosges,48.8557424,2.368231,73,4.5,Bistros
Le 52,48.87208,2.35405,58,4.5,French
Chez Mademoiselle,48.85432,2.35979,116,4.5,French
Epicerie Breizh,48.861039,2.361757,460,4.0,Creperies
L'Alsacien,48.8582259709568,2.35042658065285,67,4.5,Beer Bar
Clamato,48.85357,2.38037,98,4.5,Seafood
La Marine,48.870604,2.36533366888659,135,3.5,French
Ambassade d’Auvergne,48.8629,2.3533592,129,4.0,French
Le Cinq,48.8688,2.30083,158,4.5,French
Pramil,48.86683,2.35867,89,4.0,French
Les Vinaigriers,48.87326,2.361247,33,4.5,French
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
Comptoir Gourmet,48.86009,2.35457,47,4.5,Italian
Derrière,48.8644791458463,2.35424064437866,130,4.0,Modern European
Le Verre Volé,48.8728442977255,2.36354442418734,110,4.0,Wine Bars
Pink Mamma,48.88187,2.3346,392,4.0,Steakhouses
Le Paname Art Café,48.8684,2.3699364307415,48,4.0,Modern European
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
Guy Savoy,48.857,2.3386999,90,4.5,French
Le Comptoir,48.851945700766,2.338757487651,453,4.0,Bistros
Fish la Boissonnerie,48.85423,2.33699,137,4.5,French
Chez Fernand,48.85461,2.33954,226,4.5,French
L'Atelier de Joël Robuchon,48.8568107229545,2.32785068883627,399,4.0,French
Galette Café,48.85643,2.33153,115,4.5,Creperies
Le Bistrot d'Henri,48.852067,2.334431,135,4.5,French
Semilla,48.85406,2.33691,107,4.0,French
Eggs & Co,48.853123,2.331244,384,4.5,Breakfast & Brunch
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
Au Père Louis,48.848966,2.340349,267,4.0,Wine Bars
Shiso Burger,48.85339,2.3453,94,4.5,Burgers
Le Fumoir,48.8604,2.34055,315,4.0,Lounges
Huitrerie Régis,48.852768,2.336005,100,4.5,Seafood
Le Relais de l'Entrecôte,48.85469,2.3329,502,4.0,Steakhouses
Ippudo Saint-Germain,48.853198,2.337687,113,4.0,Ramen
L'Escargot,48.864206,2.3467,280,4.0,French
Le Calife,48.8583205,2.3346584,99,4.5,French
Happy Caffé,48.86476,2.329615,117,5.0,Creperies
Le Petit Châtelet,48.852616,2.34702,144,4.0,French
La Poule au Pot,48.861797,2.343306,117,4.0,French
Brasserie O'Neil,48.85185,2.33366,100,4.0,Brasseries
Le Soufflé,48.86645,2.32647,321,4.0,French
Gambino,48.86736,2.33298,240,4.5,Italian
Angelina,48.865092,2.328464,1530,4.0,Breakfast & Brunch
Carpe Diem Café,48.8605269,2.3459065,165,4.0,French
L'Alsacien,48.8582259709568,2.35042658065285,67,4.5,Beer Bar
L'Oliveto,48.85339,2.33595,23,4.5,Italian
Ze Kitchen Galerie,48.85502,2.3412099,211,4.0,French
La Petite Chaise,48.8538,2.32749,76,4.0,French
Kodawari Ramen,48.85467,2.33806,90,4.0,Ramen
L'Epicure,48.871697,2.314657,175,4.5,French
Huguette,48.8532753282413,2.337029,67,4.0,Seafood
La Régalade,48.8616441182389,2.34201570904084,101,4.5,French
Chez Fernand,48.85186,2.33441,82,4.0,French
La Fontaine de Mars,48.858394,2.302568,332,4.5,French
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Ladurée,48.8555969,2.334102,317,4.0,Tea Rooms
Bistrot Richelieu,48.866218,2.337011,210,4.0,French
L'Arpège,48.855753,2.316982,229,4.0,French
La Dame de Pic,48.86146,2.34126,32,4.5,French
Le Procope,48.853039868867,2.33873112110052,329,3.5,French
Le Petit Cler,48.85743,2.30604,405,4.0,Bistros
Les Papilles,48.84461,2.34174,258,4.5,Wine Bars
La Bonne Excuse,48.858552,2.327725,20,5.0,French
Verjus,48.866353,2.337373,159,4.5,Modern European
Café Louise,48.853878376742,2.3321086257314,105,4.0,Cafes
Pirouette,48.8629559992863,2.34797019441669,78,4.0,French
Pink Mamma,48.88187,2.3346,392,4.0,Steakhouses
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
The Frog & Underground,48.871088,2.343115,45,4.5,Pubs
Al Caratello,48.885237,2.335898,228,4.5,Italian
Buvette Gastrothèque,48.8804470273044,2.33758428078072,129,4.0,French
ASPIC,48.87918,2.34367,28,5.0,French
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Les Fils à Maman,48.873498,2.343626,244,4.0,French
Le Basilic,48.886,2.33428,176,4.0,French
Kastoori,48.8793858786058,2.33719110488892,33,3.5,Indian
L'Epicure,48.871697,2.314657,175,4.5,French
le 23 Clauzel,48.879257,2.337556,28,4.0,French
La Boîte aux Lettres,48.8868300540186,2.3381794989109,51,5.0,French
Le Relais Gascon,48.88403,2.3391,180,4.0,French Southwest
L'Anvers du Decor,48.88374,2.34316,62,4.0,French
The Hardware Société,48.88688,2.3445299,202,4.5,Coffee & Tea
La Maison Bleue,48.878343,2.351023,43,4.5,Bistros
Pascade,48.870597,2.3312,80,4.5,French
Canard et Champagne,48.87125,2.34171,35,4.5,French
Gambino,48.86736,2.33298,240,4.5,Italian
Bar Italia Brasserie,48.879965,2.329399,61,5.0,Italian
Le Soufflé,48.86645,2.32647,321,4.0,French
Bouillon Pigalle,48.88258,2.33744,120,3.5,French
FLESH,48.8823099,2.33311,65,4.0,Barbeque
Frenchie Restaurant,48.867754322367,2.3477420774331,240,4.5,French
Bien Bien,48.87259,2.34422,76,4.5,Thai
Au Pied du Sacré Coeur,48.890208,2.3356074,166,4.5,French
L'Escargot,48.864206,2.3467,280,4.0,French
Braisenville,48.87994,2.34508,60,4.0,French
La Fontaine de Mars,48.858394,2.302568,332,4.5,French
Hard Rock Cafe Paris,48.8717622,2.3416382,218,3.5,Bars
L'Atelier Ramey,48.888275,2.34670993005943,26,5.0,Bistros
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
Pizzeria Babalou,48.886483,2.344328,173,4.5,Italian
Les Canailles,48.8792768,2.3345899,35,4.5,French
Brasserie Bellanger,48.880937,2.3499401,17,5.0,French
Pedzouille,48.876133,2.348528,25,4.5,Bistros
Angelina,48.865092,2.328464,1530,4.0,Breakfast & Brunch
La Cave Gourmande,48.884499,2.339847,371,4.5,Bistros
Le Poulbot,48.887586,2.339819,63,4.5,French
La Maison de la Truffe,48.87074,2.3239899,102,4.5,French
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
Ober Mamma,48.86446,2.37018,308,4.5,Pizza
La Régalade Conservatoire,48.8732306,2.3468674,31,4.5,Brasseries
L'Atelier de Joël Robuchon,48.8568107229545,2.32785068883627,399,4.0,French
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Drouant,48.86884,2.33437,97,4.0,French
Pizza Caratello,48.886021,2.335944,22,4.5,Pizza
Chez Fernand,48.85461,2.33954,226,4.5,French
Le Coq & Fils - The Poultry House,48.887261205041,2.3370014478986,111,4.5,Rotisserie Chicken
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
Clamato,48.85357,2.38037,98,4.5,Seafood
Septime,48.85355,2.380665,149,4.5,Modern European
East Mamma,48.851034,2.377739,257,4.5,Pizza
L'Echoppe de Paris,48.853963,2.387988,51,4.5,Burgers
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
Waly-Fay,48.854577902096,2.3816630237536,89,4.0,African
Chez Janou,48.8566952430158,2.36717752386277,589,4.0,Bistros
Ober Mamma,48.86446,2.37018,308,4.5,Pizza
Louie Louie,48.8534999,2.3803,46,4.5,Pizza
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Auciel,48.854375,2.383591,40,4.5,Chinese
Les Marcheurs de Planète,48.856591,2.37713,49,4.5,French
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
L'Epicure,48.871697,2.314657,175,4.5,French
Robert et Louise,48.859081,2.359435,352,4.0,French
Le Cinq,48.8688,2.30083,158,4.5,French
Le Bistrot des Vosges,48.8557424,2.368231,73,4.5,Bistros
Les Philosophes,48.857332,2.357493,364,4.0,Bistros
Chez Troquette,48.85866,2.38339,12,5.0,French
Chez Fernand,48.85461,2.33954,226,4.5,French
Les Mondes Bohèmes,48.853884,2.399349,51,4.0,Bars
Au Père Louis,48.848966,2.340349,267,4.0,Wine Bars
Pierre Sang,48.86461,2.37233,159,4.5,French
Paname Brewing Company,48.887828,2.378784,119,4.0,Breweries
L'As du Fallafel,48.857498,2.35908,1946,4.5,Kosher
Le Petit Pontoise,48.8498845,2.3520959,151,4.5,Bistros
Chez Mademoiselle,48.85432,2.35979,116,4.5,French
Pink Mamma,48.88187,2.3346,392,4.0,Steakhouses
John Viande,48.874333,2.354259,81,4.5,Burgers
Extra Old Cafe,48.848981938566,2.3928291328424,56,4.0,French
Frenchie Restaurant,48.867754322367,2.3477420774331,240,4.5,French
L'Aller Retour,48.865353,2.363151,80,4.5,Wine Bars
La Fontaine de Mars,48.858394,2.302568,332,4.5,French
L'Avant Comptoir,48.85202,2.3388,654,4.5,Tapas Bars
The Frog & Underground,48.871088,2.343115,45,4.5,Pubs
Bistrot de l'Oulette,48.85555,2.36729,43,4.5,French
Le Fumoir,48.8604,2.34055,315,4.0,Lounges
L'Alsacien,48.8582259709568,2.35042658065285,67,4.5,Beer Bar
Cimetière du Père Lachaise,48.859886,2.390963,259,4.5,Funeral Services & Cemeteries
Guy Savoy,48.857,2.3386999,90,4.5,French
Le Soufflé,48.86645,2.32647,321,4.0,French
L'Armagnac,48.854496,2.384889,38,4.0,Bistros
La Ravigote,48.8505178,2.3879359,31,4.5,Bistros
L'Atelier de Joël Robuchon,48.8568107229545,2.32785068883627,399,4.0,French
Le Petit Châtelet,48.852616,2.34702,144,4.0,French
Fulgurances l'Adresse,48.8529399,2.3898799,22,4.5,French
Le Bistrot d'Henri,48.852067,2.334431,135,4.5,French
MELT OBERKAMPF,48.865612,2.370802,32,5.0,Steakhouses
L'Escargot,48.864206,2.3467,280,4.0,French
Le Comptoir de la Gastronomie,48.8645157999652,2.34540185646608,1272,4.5,French
Le Temps des Cerises,48.852569,2.364184,374,4.5,French
East Mamma,48.851034,2.377739,257,4.5,Pizza
Clamato,48.85357,2.38037,98,4.5,Seafood
Les Antiquaires,48.8580664639432,2.32823697067099,458,4.5,Bistros
Chez Janou,48.8566952430158,2.36717752386277,589,4.0,Bistros
Il Goto,48.840868,2.387272,10,4.0,Italian
Le Bistro du Périgord,48.8498092201519,2.34515282327701,376,4.5,Bistros
Le Cinq,48.8688,2.30083,158,4.5,French
Ober Mamma,48.86446,2.37018,308,4.5,Pizza
L'Epicure,48.871697,2.314657,175,4.5,French
Le Picotin,48.843763749503,2.4023244327406,46,4.5,French
Chez Fernand,48.85461,2.33954,226,4.5,French
Au Père Louis,48.848966,2.340349,267,4.0,Wine Bars
Les Philosophes,48.857332,2.357493,364,4.0,Bistros
